Install Time,Event Time,Adset,City
4/13/22 1:24,4/14/22 22:50,17,Petropolis
4/14/22 2:27,4/14/22 21:10,17,Otelo
4/13/22 1:44,4/14/22 19:57,17,Teresopolis
4/14/22 1:51,4/14/22 17:56,17,Penapolis
4/14/22 16:30,4/14/22 16:37,17,Guapo
4/12/22 0:29,4/14/22 15:42,17,Manaus
4/13/22 1:43,4/14/22 12:33,17,Senhor Do Bonfim
4/14/22 0:53,4/14/22 12:28,17,Sooretama
4/14/22 2:18,4/14/22 4:51,17,Catanduvas
4/14/22 3:53,4/14/22 3:56,17,Cristalina
4/14/22 1:40,4/14/22 1:57,17,Aracatuba
4/14/22 1:09,4/14/22 1:41,17,Itabira
4/13/22 3:12,4/14/22 1:30,17,Carapicuiba
4/14/22 1:19,4/14/22 1:24,17,Feira De Santana
4/10/22 2:19,4/14/22 0:54,5,Chapeco
4/14/22 0:45,4/14/22 0:50,17,Recife
4/13/22 0:45,4/14/22 0:37,17,Macaubas
4/14/22 0:30,4/14/22 0:36,17,Lagoa Grande
4/14/22 0:31,4/14/22 0:33,17,Oliveira
4/14/22 0:26,4/14/22 0:28,17,Uberlandia
4/10/22 21:25,4/13/22 17:32,17,Navirai
4/13/22 1:30,4/13/22 13:27,17,Sao Paulo
4/12/22 2:22,4/13/22 9:11,17,Parnaiba
4/9/22 6:55,4/13/22 7:31,5,Rondonopolis
4/13/22 2:02,4/13/22 4:22,17,Coxilha
4/12/22 1:10,4/13/22 3:06,17,Brasilia
4/13/22 2:42,4/13/22 2:50,17,Paulo Afonso
4/13/22 2:04,4/13/22 2:06,17,Campinas
4/12/22 2:46,4/12/22 22:17,17,Ubatuba
4/8/22 14:54,4/12/22 22:08,13,Teresina
4/12/22 17:28,4/12/22 17:32,17,Pio Xii
4/10/22 2:02,4/12/22 17:31,5,Recife
4/12/22 1:41,4/12/22 17:26,17,Belo Horizonte
4/11/22 0:40,4/12/22 15:24,17,Palmeira
4/9/22 10:45,4/12/22 15:02,5,Coroata
4/12/22 1:08,4/12/22 12:24,17,Natividade
4/12/22 0:53,4/12/22 3:04,17,Nazare
4/12/22 2:47,4/12/22 2:56,17,Campos Do Jordao
4/12/22 1:42,4/12/22 2:29,17,Guapiacu
4/12/22 1:33,4/12/22 1:47,17,Querencia
4/12/22 1:10,4/12/22 1:16,17,Salinopolis
4/12/22 0:54,4/12/22 1:11,17,Jequie
4/12/22 0:37,4/12/22 0:40,17,Curitiba
4/12/22 0:18,4/12/22 0:36,17,Sao Paulo
4/12/22 0:26,4/12/22 0:28,17,Diamantina
4/8/22 3:18,4/12/22 0:03,15,Biguacu
4/8/22 2:35,4/11/22 19:45,12,Jaboatao Dos Guararapes
4/9/22 15:53,4/11/22 17:25,17,Novo Hamburgo
4/11/22 10:49,4/11/22 11:09,17,Parauapebas
4/11/22 4:01,4/11/22 4:03,17,Guaramirim
4/11/22 1:29,4/11/22 3:36,17,Belo Horizonte
4/11/22 3:12,4/11/22 3:17,17,Vargem Grande Paulista
4/11/22 3:04,4/11/22 3:11,17,Uberaba
4/11/22 2:43,4/11/22 2:55,17,Campo Grande
4/11/22 2:27,4/11/22 2:44,17,Paco Do Lumiar
4/9/22 4:32,4/11/22 2:41,17,Sao Paulo
4/11/22 2:22,4/11/22 2:27,17,Palmas
4/11/22 1:39,4/11/22 1:49,17,Horizonte
4/11/22 0:48,4/11/22 0:55,17,Guaranta Do Norte
4/9/22 1:01,4/11/22 0:49,17,Rio De Janeiro
4/10/22 19:54,4/10/22 22:36,17,Itupeva
4/10/22 20:54,4/10/22 20:56,17,Vitoria Da Conquista
4/10/22 20:48,4/10/22 20:54,17,Sao Pedro Da Aldeia
4/10/22 20:31,4/10/22 20:33,17,Itapecerica Da Serra
4/7/22 1:01,4/10/22 20:33,5,Leme
4/10/22 20:19,4/10/22 20:32,17,Sao Paulo
4/10/22 2:17,4/10/22 18:01,5,Buriti Bravo
